<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.01	13:00:00	4502.50	4503.91	4472.47	4484.07	5448	0	15
2026.06.01	13:15:00	4484.15	4489.61	4462.45	4464.94	7224	0	15
2026.06.01	13:30:00	4465.27	4478.78	4459.11	4467.34	7029	0	15
2026.06.01	13:45:00	4467.34	4469.71	4449.07	4450.68	6575	0	15
2026.06.01	14:00:00	4450.64	4462.18	4447.81	4461.29	6198	0	15
2026.06.01	14:15:00	4461.29	4464.89	4449.72	4456.25	5500	0	15
2026.06.01	14:30:00	4456.17	4461.63	4453.87	4460.01	4826	0	15
2026.06.01	14:45:00	4460.01	4461.28	4452.26	4458.69	4539	0	15
2026.06.01	15:00:00	4458.81	4465.34	4456.06	4464.32	4526	0	15
2026.06.01	15:15:00	4464.32	4470.30	4463.29	4468.35	4154	0	15
2026.06.01	15:30:00	4468.35	4479.87	4468.18	4472.36	5257	0	15
2026.06.01	15:45:00	4472.36	4475.48	4468.69	4474.17	3670	0	15
2026.06.01	16:00:00	4474.20	4477.61	4465.27	4467.24	3495	0	15
2026.06.01	16:15:00	4467.21	4469.51	4463.06	4468.00	3225	0	15
2026.06.01	16:30:00	4468.00	4471.96	4467.87	4468.07	3177	0	14
